"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Page";"Sheets";"=";"+";"txt_1";"txt_2";"txt_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"1";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1";"18";"= OVERVIEW";"+";"sanding line";"base sheet";"";"1";"18";"= OVERVIEW";"+";"sanding line";"base sheet";""
"2";"2";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3";"18";"= OVERVIEW";"+";"";"core colour code reference table";"";"3";"18";"= OVERVIEW";"+";"";"core colour code reference table";""
"3";"3";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"0";"8";"= 400";"+ TRAFO";"";"magnet control";"";"0";"8";"= 400";"+ TRAFO";"";"magnet control";""
"4";"4";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";"";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"5";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"1b";"8";"= 400";"+ 400A";"";"emergency stop 400A";"";"1b";"8";"= 400";"+ 400A";"";"emergency stop 400A";""
"6";"6";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";"";"2";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"7";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";"";"3";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"8";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";"";"4";"8";"= 400";"+ 400A";"";"control voltage 220V~ brakes";""
"9";"9";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";"";"4a";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"10";"10";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";"";"4b";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"11";"11";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"12";"12";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"13";"13";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"14";"14";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"15";"15";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"16";"16";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"17";"17";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"18";"18";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"19";"19";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"20";"20";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"21";"21";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"22";"22";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"23";"23";"pg_S1";"variant_0";"approved";"1190.55";"871.0";"1192.0";"871.0";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21"
"24";"24";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22"
"25";"25";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23"
"26";"26";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"27";"27";"pg_S1";"variant_0";"pending";"1190.55";"871.0";"1192.0";"871.0";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
